rank,term,doc_freq,raw_freq,adj_freq,methods,nonambiguous,informative,type,topic,role,notes,example
132,control,39,294,224,spacy,0,non-informative,ASPECT,,,,"But Parliament generally provides for interference only at a stage where in pursuance of social and economic objectives or to discharge duties under the Directive Principles of State Policy, control has to be exercised over the distribution"
133,area,40,665,223,spacy,0,non-informative,ASPECT,,,,It will transpose the area of controversy to a totally different and wider plane.
134,electricity,8,310,223,spacy,0,non-informative,,,,,it was almost impossible to work out the cost in respect of any particular area or of a particular bye-product; (iv) the cost plus basis was fixed by the Award several years ago and that too in the context of supply to certain State underta
135,nature,64,284,221,spacy,0,non-informative,ASPECT,,,,Gurvinder Singh (PW3) to ascertain the nature of injuries caused to them in the alleged incident.
136,notification,27,334,219,spacy,1,informative,STATUTE-PROVISION,LAND-ACQUISITION,RULE,,"(ix) We wish to add that we are not called upon to, and do not, express any opinion regarding the notification dated 30.1.87 of the Government issued subsequently fixing the price at Rs. 1,400 plus."
137,support,61,227,215,spacy,0,non-informative,ASPECT,,,,"(2) Where the allegations in the first information report and other materials, if any, accompanying the FIR do not disclose a cognizable offence, justifying an investigation by police officers under Section 156(1) of the Code except under a"
138,consent,32,241,215,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"The fact that a pipe laid by a water company along a street in the exercise of its franchise was laid under an agreement, with certain persons who paid the expenses, that they should have the exclusive use of water, and that the company sho"
139,tax,28,688,214,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"Commissioner Of Income Tax, Patiala vs M/S. Groz Backert Saboo Ltd on 22 November, 1978 COURT 376, 1979 TAX."
140,day,62,239,213,"rake,spacy",0,non-informative,TEMPORAL,,,,"It is also a matter of common knowledge that in cases filed by the complainant if the husband or the husband's relations had to remain in jail even for a few days, it would ruin the chances of amicable settlement altogether."
141,purchase,32,219,213,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"In that suit, Setlur had claimed that he was the real purchaser of the suit lands from Kalyan Sundram Iyer in 1941-42; that Iyengar was his agent and was only a benamidar and, therefore, the purchase by Iyengar was only for the benefit of K"
142,chief,31,295,213,"spacy,yake",0,non-informative,,,,,It was also pointed out that the Registrar was the chief controlling and supervising officer of the Society under its bye-laws.
143,assessee,9,234,213,"spacy,textacy,yake",0,non-informative,,,,,"P.N. Bhagwati, V.D. Tulzapurkar COMMISSIONER OF INCOME TAX, PATIALA Vs. M/s. GROZ BACKERT SABOO LTD. DATE OF JUDGMENT22/11/1978 BHAGWATI, P.N. BHAGWATI, P.N. TULZAPURKAR, V.D. CITATION: 1979 (2) 371 1979 (1) 340 ACT: Taxable Profits Computa"
144,extent,51,239,209,spacy,0,non-informative,ASPECT,,,,"The discussions in the judgment of the High Court and, to some extent, the discussions before us have touched several aspects of the principles to be kept in mind for price fixation of essential commodities basic to public need and, in doin"
145,october,39,211,209,spacy,0,non-informative,TEMPORAL,,,,"In October, 1961 ONGC first thought of the idea of using natural gas in addition to fuel oil in industries."
146,charge,48,298,206,spacy,1,informative,LEGAL-CONCEPT,MORTGAGE-CHARGE,ISSUE,,"The High Court also acquitted the other three co-accused for charge under Sections 148, 149, IPC. 3."
147,february,36,206,206,spacy,0,non-informative,TEMPORAL,,,,"Krishnamurthy S. Setlur Dead By Lrs vs O. V. Narasimha Setty & on 23 February, 2007 2007 SCW 2979, 2007 (4) KAR R 246, , 2007 (2) HRR 193, (2007) 2 CURLJ(CCR) 127, 2007 HRR 2 193, (2007) 4 KANT LJ 463, (2007) 2 RECCIVR 313, (2007) 2 WLC(SC)"
148,magistrate,18,274,205,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"(2) Where the allegations in the first information report and other materials, if any, accompanying the FIR do not disclose a cognizable offence, justifying an investigation by police officers under Section 156(1) of the Code except under a"
149,candidate,4,289,205,"spacy,yake",0,non-informative,,,,,"EXPLANATION:- For the purpose of this notification, the 'Local Scheduled Tribe Candidate' means, the candidate belonging to the Scheduled Tribes notified as such under article 342 of the Constitution of India and the candidates themselves o"
150,people,24,225,204,spacy,1,informative,PARTY-ACTOR,,ACTOR,,This clearly demonstrates discontent and unrest in the family life of a large number of people of the society. 29.
151,partition,11,274,203,spacy,1,informative,LEGAL-CONCEPT,PARTITION,ISSUE,,"Sub-section (1) of s. 21 provides that the Consolidation Officer shall carry out a re-partition in Roop Chand vs State Of Punjab on 10 October, 1962 accordance with the scheme as confirmed under s. 20."
152,legislature,33,236,201,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"In this case, the court observed that ends of justice are higher than the ends of mere law though justice must be administered according to laws made by the legislature."
153,present case,62,200,200,"spacy,textacy",0,non-informative,ASPECT,,,,"The present case would undoubtedly fall for exercise of the power of the High Court in accordance with Section 482 of the 1973 Code, even assuming, that the invoking of the revisional power of the High Court is impermissible."
154,form,61,277,198,spacy,0,non-informative,ASPECT,,,,"At that time, there were very few industries set up in and around Vadodara and these depended, besides electricity, on other forms of energy generated through coal or furnance oil."
155,v. state,26,198,198,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"See following observations of Justice Krishna Iyer speaking for this Court in Hira Lal Malik v. State : ""When a crime is committed by the concerted action of a plurality of persons constructive liability implicates each participant, but the"
156,bar,38,207,196,spacy,0,non-informative,ASPECT,,,,The learned members of the Bar have enormous social responsibility and obligation to ensure that the social fiber of family life is not ruined or demolished.
157,conclusion,61,223,195,spacy,0,non-informative,ASPECT,,,,Learned senior counsel appearing for the accused assails the above reasoning and conclusion reached by the High Court fore rejecting the defence plea of the accused (A-1).
158,title,37,255,195,spacy,1,informative,LEGAL-CONCEPT,TITLE-OWNERSHIP,ISSUE,,The question of title was not gone into by the trial court.
159,district,51,577,194,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,"Furthermore, the obligation of a public utility, such as a gas, water, or electric company, to supply a given district is inclusive of the duty, under reasonable limitations, to carry the mains or lines of the utility to a point on the cons"
160,direction,43,231,194,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,The members of second party armed with firearms may have come from the same direction to the place of occurrence on hearing a commotion created due to fight between members of party No. 1 on one part and the members of the deceased party on
161,payment,53,216,190,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"If the Board borrows sums either from the government or from other sources or by the issue of debentures and bonds, surely the Board must of necessity make provision year after year for the payment of interest on the loans taken by it and f"
162,fee,19,257,190,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,In paragraph 31 the arbitrators have determined their fees and have directed the disputants to bear them equally.
163,president,15,197,189,spacy,0,non-informative,,,,,"Y.V. Chandrachud, Syed Murtaza Fazalali, V.D. Tulzapurkar, O. Chinnappa Reddy, A. Varadarajan GRAM PANCHAYAT OF VILLAGE, JAMALPUR Vs. MALWINDER SINGH & DATE OF JUDGMENT09/07/1985 CHANDRACHUD, Y.V. ((CJ) CHANDRACHUD, Y.V. ((CJ) FAZALALI, SYE"
164,course,60,218,188,spacy,0,non-informative,ASPECT,,,,"As per the defence taken by accused Vicky in the course of cross-examination of eyewitnesses and his statement under Section 313 Cr.P.C., he was present at the place of occurrence."
165,material,61,335,187,spacy,0,non-informative,ASPECT,,,,"(2) Where the allegations in the first information report and other materials, if any, accompanying the FIR do not disclose a cognizable offence, justifying an investigation by police officers under Section 156(1) of the Code except under a"
166,criminal,31,337,187,spacy,0,non-informative,,CRIMINAL,,,"Author: Dalveer Bhandari Bench: K.S. Radhakrishnan, Dalveer Bhandari REPORTABLE IN THE SUPREME COURT OF INDIA CRIMINAL APPELLATE JURISDICTION"
167,december,38,189,186,spacy,0,non-informative,TEMPORAL,,,,"Between April 1971 and December 1975, the well-head price was increased and fixed at Rs.66 per unit, we are all told, on the intervention of the then Gujarat Governor."
168,sub section,34,186,186,"spacy,textacy",1,informative,STATUTE-PROVISION,,RULE,,"Sub-section (1) of s. 21 provides that the Consolidation Officer shall carry out a re-partition in Roop Chand vs State Of Punjab on 10 October, 1962 accordance with the scheme as confirmed under s. 20."
169,civil appeal,59,185,185,"spacy,yake",1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"This civil appeal arises out of judgment and decree rendered by Karnataka High Court on 22.3.1999 filed under section 96 CPC against judgment and decree dated 11.10.1996 passed in O.S. No. 3656/81 on the file of City Civil Judge, Bangalore,"
170,division bench,30,185,185,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"The Judgment of the Court was delivered by RANGANATHAN, J. These are eleven appeals preferred by the Oil and Natural Gas Commission (ONGC, for short) from a judgment and order, dated 30th July, 1983, of a Division Bench of the High Court of"
171,bank,24,291,185,"spacy,yake",0,non-informative,,,,,"Bank in St. Louis, C.C.A. Mo., 16 F. 2d 990, 992."
172,injury,18,258,185,"spacy,yake",0,non-informative,,,,,Prosecution also examined Gurvinder Singh (PW3) who is also alleged to have been an eyewitness to the incident and received injuries.
173,witness,34,306,184,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"The witness then raised an alarm 'Mar Ditta-Mar Ditta' whereupon his brother Ajit Singh (not examined), Darshan Singh s/o Ajit Singh (PW5), Sandeep Singh (not examined) and Gurvinder Singh PW3 came there."
174,arbitration,12,203,183,"spacy,yake",0,non-informative,,,,,"They may invoke the arbitration of some eminent economist in consultation with the petitioners; or (iii) They may themselves decide the price, after bringing to their consideration all relevant factors and for that purpose they may hear ful"
175,indian,53,357,182,"spacy,yake",0,non-informative,,,,,"A large number of authorities, both English and Indian, were cited to show that the contract had become commercially impracticable, and that they would have to fold up operations, which would not be in public interest as the consumers would"
